Date,Open,High,Low,Close,Adj Close,Volume
28-06-2023,284.820007,289.549988,284.059998,285.290009,285.290009,16722100
29-06-2023,284.500000,286.570007,280.690002,281.529999,281.529999,15395700
30-06-2023,284.760010,289.049988,284.420013,286.980011,286.980011,19676000
03-07-2023,286.700012,289.399994,284.850006,286.019989,286.019989,8629300
05-07-2023,287.649994,298.119995,286.359985,294.369995,294.369995,33865500
06-07-2023,295.890015,298.119995,291.309998,291.989990,291.989990,47600500
07-07-2023,292.179993,296.200012,288.660004,290.529999,290.529999,25546200
10-07-2023,295.549988,298.130005,287.049988,294.100006,294.100006,37058300
11-07-2023,293.899994,300.179993,291.899994,298.290009,298.290009,27585900
12-07-2023,301.750000,309.450012,300.100006,309.339996,309.339996,36677100
13-07-2023,313.619995,316.239990,310.290009,313.410004,313.410004,30281000
14-07-2023,311.790009,314.880005,307.359985,308.869995,308.869995,22576000
17-07-2023,307.540009,311.709991,304.709991,310.619995,310.619995,25323100
18-07-2023,310.880005,314.200012,307.619995,312.049988,312.049988,20764600
19-07-2023,313.029999,318.679993,310.519989,316.010010,316.010010,21763700
20-07-2023,313.500000,315.540009,302.220001,302.519989,302.519989,23836900
21-07-2023,304.570007,305.459991,291.200012,294.260010,294.260010,42089700
24-07-2023,295.779999,297.519989,288.299988,291.609985,291.609985,24915700
25-07-2023,295.190002,298.299988,291.859985,294.470001,294.470001,19585600
26-07-2023,301.190002,301.769989,291.899994,298.570007,298.570007,47256900
27-07-2023,325.119995,325.350006,309.839996,311.709991,311.709991,64229200
28-07-2023,316.880005,326.200012,314.250000,325.480011,325.480011,39220300
31-07-2023,323.690002,325.660004,317.589996,318.600006,318.600006,25799600
01-08-2023,317.540009,324.140015,314.660004,322.709991,322.709991,22817900
02-08-2023,318.000000,318.390015,310.649994,314.309998,314.309998,20461100
03-08-2023,309.929993,315.950012,309.929993,313.190002,313.190002,15180200
04-08-2023,314.959991,318.410004,310.200012,310.730011,310.730011,17600200
07-08-2023,313.230011,317.070007,310.459991,316.559998,316.559998,16236500
08-08-2023,314.399994,317.890015,310.109985,312.640015,312.640015,15183500
09-08-2023,312.880005,313.630005,302.850006,305.209991,305.209991,19955800
10-08-2023,307.940002,312.339996,303.869995,305.739990,305.739990,14358900
11-08-2023,302.570007,304.720001,300.359985,301.640015,301.640015,13967800
14-08-2023,300.980011,306.209991,298.250000,306.190002,306.190002,15641900
15-08-2023,306.140015,307.230011,300.029999,301.950012,301.950012,11623600
16-08-2023,300.200012,301.079987,294.279999,294.290009,294.290009,18547700
17-08-2023,293.049988,296.049988,284.950012,285.089996,285.089996,23950100
18-08-2023,279.029999,285.690002,274.380005,283.250000,283.250000,34061200
21-08-2023,283.450012,290.500000,281.850006,289.899994,289.899994,20181500
22-08-2023,292.549988,292.899994,286.750000,287.600006,287.600006,12999900
23-08-2023,288.500000,297.399994,287.670013,294.239990,294.239990,18287000
24-08-2023,298.500000,299.459991,286.640015,286.750000,286.750000,18360900
25-08-2023,286.130005,288.390015,276.029999,285.500000,285.500000,23701400
28-08-2023,288.000000,291.450012,285.799988,290.260010,290.260010,14239300
29-08-2023,288.579987,299.149994,288.179993,297.989990,297.989990,20844500
30-08-2023,297.170013,298.290009,293.429993,295.100006,295.100006,17717000
31-08-2023,295.799988,301.100006,295.660004,295.890015,295.890015,17229900
01-09-2023,299.369995,301.739990,294.470001,296.380005,296.380005,12819800
05-09-2023,297.019989,301.390015,295.510010,300.149994,300.149994,14956000
06-09-2023,301.709991,303.299988,295.660004,299.170013,299.170013,15418100
07-09-2023,298.000000,307.049988,292.220001,298.670013,298.670013,33748700
08-09-2023,299.220001,305.250000,296.779999,297.890015,297.890015,17548000
11-09-2023,301.410004,309.040009,301.279999,307.559998,307.559998,19489300
12-09-2023,306.329987,308.660004,300.230011,301.660004,301.660004,13480400
13-09-2023,302.359985,307.179993,301.320007,305.059998,305.059998,13210900
14-09-2023,306.739990,312.869995,305.029999,311.720001,311.720001,19343100
15-09-2023,311.609985,312.000000,298.750000,300.309998,300.309998,28106400
18-09-2023,298.190002,303.600006,297.799988,302.549988,302.549988,14234200
19-09-2023,302.480011,306.170013,299.809998,305.070007,305.070007,15924400
20-09-2023,305.049988,308.059998,299.429993,299.670013,299.670013,19379500
21-09-2023,295.700012,300.260010,293.269989,295.730011,295.730011,21300500
22-09-2023,299.299988,305.380005,298.269989,299.079987,299.079987,25369600
25-09-2023,295.640015,300.950012,293.700012,300.829987,300.829987,18987000
26-09-2023,297.660004,300.299988,296.010010,298.959991,298.959991,19417200
27-09-2023,300.450012,301.299988,286.790009,297.739990,297.739990,36429800
28-09-2023,298.940002,306.329987,296.700012,303.959991,303.959991,22167100
29-09-2023,307.380005,310.640015,299.359985,300.209991,300.209991,25356600
02-10-2023,302.739990,307.179993,301.630005,306.820007,306.820007,16265600
03-10-2023,304.260010,306.769989,299.640015,300.940002,300.940002,17362300
04-10-2023,298.730011,306.899994,298.500000,305.579987,305.579987,16880500
05-10-2023,304.630005,306.209991,299.500000,304.790009,304.790009,19130000
06-10-2023,301.440002,316.309998,300.910004,315.429993,315.429993,21784000
09-10-2023,312.500000,320.329987,311.820007,318.359985,318.359985,22503700
10-10-2023,319.119995,324.660004,318.160004,321.839996,321.839996,19038000
11-10-2023,323.010010,328.839996,322.950012,327.820007,327.820007,22036300
12-10-2023,328.000000,330.540009,322.690002,324.160004,324.160004,20530500
13-10-2023,323.529999,325.049988,312.369995,314.690002,314.690002,21341000
16-10-2023,318.640015,321.820007,315.519989,321.149994,321.149994,16536100
17-10-2023,318.179993,324.399994,317.299988,324.000000,324.000000,16387800
18-10-2023,321.390015,325.940002,315.559998,316.970001,316.970001,16851000
19-10-2023,319.880005,321.890015,311.750000,312.809998,312.809998,18709200
20-10-2023,314.140015,315.299988,306.470001,308.649994,308.649994,22287400
23-10-2023,309.500000,317.359985,307.260010,314.010010,314.010010,17796800
24-10-2023,316.779999,318.350006,310.630005,312.549988,312.549988,19525500
25-10-2023,310.000000,310.880005,298.839996,299.529999,299.529999,42192500
26-10-2023,295.000000,295.000000,279.399994,288.350006,288.350006,66684100
27-10-2023,294.480011,299.309998,292.970001,296.730011,296.730011,29596300
30-10-2023,299.089996,309.399994,299.049988,302.660004,302.660004,28435100
31-10-2023,303.309998,303.679993,296.859985,301.269989,301.269989,19434200
01-11-2023,301.850006,312.739990,301.850006,311.850006,311.850006,20434600
02-11-2023,317.299988,318.820007,308.329987,310.869995,310.869995,21631800
03-11-2023,312.549988,315.549988,311.019989,314.600006,314.600006,16754100
06-11-2023,315.980011,318.329987,314.450012,315.799988,315.799988,12887700
07-11-2023,317.059998,321.000000,315.119995,318.820007,318.820007,14055600
08-11-2023,318.140015,321.329987,314.880005,319.779999,319.779999,13609700
09-11-2023,319.420013,324.179993,318.799988,320.549988,320.549988,16103100
10-11-2023,319.940002,329.100006,319.459991,328.769989,328.769989,19096200
13-11-2023,326.200012,332.329987,325.700012,329.190002,329.190002,16908900
14-11-2023,334.540009,338.100006,333.329987,336.309998,336.309998,17179400
15-11-2023,337.929993,338.399994,330.019989,332.709991,332.709991,14531200
16-11-2023,329.369995,334.579987,326.380005,334.190002,334.190002,18932600
17-11-2023,330.260010,335.500000,329.350006,335.040009,335.040009,14494400
20-11-2023,334.890015,341.869995,334.190002,339.970001,339.970001,16960500
21-11-2023,338.329987,339.899994,335.899994,336.980011,336.980011,12027900
22-11-2023,339.209991,342.920013,338.579987,341.489990,341.489990,10702700
24-11-2023,340.130005,341.859985,336.769989,338.230011,338.230011,5467500
27-11-2023,336.179993,339.899994,334.200012,334.700012,334.700012,15684500
28-11-2023,333.399994,339.380005,333.399994,338.989990,338.989990,12637200
29-11-2023,339.690002,339.899994,330.779999,332.200012,332.200012,16024500
30-11-2023,331.890015,333.500000,322.399994,327.149994,327.149994,23146400
01-12-2023,325.480011,326.859985,320.760010,324.820007,324.820007,15264700
04-12-2023,317.290009,320.859985,313.660004,320.019989,320.019989,19037100
05-12-2023,318.980011,321.880005,315.390015,318.290009,318.290009,16952100
06-12-2023,321.929993,322.250000,317.040009,317.450012,317.450012,11294300
07-12-2023,317.769989,328.239990,317.769989,326.589996,326.589996,15905100
08-12-2023,323.089996,333.170013,323.000000,332.750000,332.750000,14077500
